Chargecode,Description,CPT/HCPCS,Fee
2159927,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 80MM",C1713,"7,500.00"
2159928,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 85MM",C1713,"7,500.00"
2159929,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 90MM",C1713,"7,500.00"
2159930,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 95MM",C1713,"7,500.00"
2159931,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 100MM",C1713,"7,500.00"
2159932,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 105MM",C1713,"7,500.00"
2159933,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 110MM",C1713,"7,500.00"
2159934,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 115MM",C1713,"7,500.00"
2159935,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 120MM",C1713,"7,500.00"
2159936,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 125MM",C1713,"7,500.00"
2159937,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 130MM",C1713,"7,500.00"
2159938,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 135MM",C1713,"7,500.00"
2159939,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 140MM",C1713,"7,500.00"
2159940,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 145MM",C1713,"7,500.00"
2159941,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 150MM",C1713,"7,500.00"
2159942,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 155MM",C1713,"7,500.00"
2159943,"MONSTER BEAM SCREW, CANNUL, HEADLESS, FULL THD, 7.0 X 160MM",C1713,"7,500.00"
2159944,"TAP, 7.0, CANNULATED, LONG, BEAMING",C1713,"1,500.00"
2159945,"DRILL, 4.6 X 300MM, CANNULATED, 3 16THS IN  SQ CONNECTION",,"1,500.00"
2159946,"OVER DRILL, 7.0 X 300MM, CANNUL, 3 16THS IN  SQ CONNECTION",,"1,500.00"
2159947,"K-WIRE, SINGLE ENDED TROCAR TIP, SMOOTH, 2.3 X 300MM",,160.00
2159948,"K-WIRE, SINGLE ENDED TROCAR TIP, THREADED, 2.3 X 300MM",,160.00
2159949,(DME) AIRFIT F20 CUSHION LARGE,A7031,60.00
2159950,PLATE BONE TRI-LOCK L2.8 MM OLECRANON,C1713,"3,124.00"
2159953,SCREW BONE APTUS TITNM 18MM 2.8MM CORTICAL FOOT HEXADRIVE 7,C1713,347.00
2159954,SCREW BONE APTUS TITNM 20MM 2.8MM CORTICAL FOOT HEXADRIVE 7,C1713,347.00
2159955,SCREW BONE APTUS TITNM 5 MM 2.8MM CORTICAL FOREFOOT,C1713,347.00
2159956,SCREW BONE APTUS TITNM 20MM 2.8MM FOREFOOT MIDFOOT 2 THREAD,C1713,561.00
2159957,SCREW BONE APTUS TITNM 24MM 2.8MM FOREFOOT MIDFOOT 2 THREAD,C1713,561.00
2159958,WIRE FIXATION KIRSCHNER APTUS 150MM 1.6MM LANCET,,118.00
2159959,SCREW BONE APTUS SPEEDTIP TITNM 20MM 5MM 3MM,C1713,"1,493.00"
2159960,DRILL TWIST 3 L87 MM OD2.1 MM CANNULATED 1.1 MM K WIRE,,"1,671.00"
2159961,IMPLANT SPINAL BASE TITANIUM 20 HYPERLODOTIC 10MM 34MM 24MM,C1889,"23,200.00"
2159962,SCREW BONE VUEPOINT II L26 MM OD3.5 MM SPINE,,"3,180.00"
2159964,CATHETER BALLOON DILATATION 7FR 12MM 135CM 20MM OTW 2 LUMEN,C1725,440.00
2159965,PORT HAND ACCESS 100MM LOW PROFILE OBTURATOR OPTICAL TIP,,335.00
2159966,PORT HAND ACCESS 120MM PALM GRIP OBTURATOR BLADELESS,,351.00
2159967,BUTTON GASTRO MIC-KEY SECUR-LOK 3CM 16FR 5ML ANTIREFLX VLVE,B4088,360.00
2159968,CATHETER ANGIO ACCU-VU OMNIFLUSH 4 FR 70CM 2CM MARKER,C1887,218.00
2159969,CATHETER ANGIOGRAPHIC TORCON VERTEBRAL CURVE 125CM 5FR,,259.00
2159970,CATHETER 5FR SHETTY 100CM (CUSTOM 4-6 WKS),,257.00
2159971,GUIDEWIRE VASCULAR 300CM 35CM .14IN ATRAUMATIC RIBBONTIP,C1769,"2,700.00"
2159972,MICROCATHETER VASC SL-10 .014IN 150CM 6CM 2.4-1.7FR .0165IN,C1887,"3,870.00"
2159973,CATHETR DELVRY SYS NEURON .035IN .038IN 13 CM 9CM 5FR .04IN,C1887,500.00
2159974,COIL EMBOLIZATION AZUR CX .018IN 40CM 20MM ID.021-.027IN,,"3,000.00"
2159980,COIL EMBOLIZATION AZUR CX .018IN 24CM 7MM .021-.027IN,,"3,000.00"
2159983,END CAP SPINAL X-CORE 2 TITANIUM H16 MM LOCK NONSTERILE,,280.00
21600,EXC OF RIB - PARTIAL--FAC,21600,"16,528.00"
2160062,"ALLODERM PERFORATED, 7.3 X 14.7",Q4116,105.00
21601,EXC CHEST WALL TUMOR W/RIBS - FAC,21601,"2,540.00"
2160107,LENS INTRAOCULAR ACRYSOF MONOFLEX 10D +19 DIOPTER 13MM 6MM,V2632,"1,756.00"
2160369,CLIP ANEURYSM SUGITA 20,,"1,136.00"
2160432,GRAFT VASCULAR 45CM 4-7MM GORE STD WALL,C1768,"5,180.00"
2160577,IMPLANT MACROPLASTIQUE BULKING AGENT 2.5 ML,L8606,"1,980.00"
2160795,KIT NEUROSTIMULATOR INTERSTIM SACRAL NERVE PERI NERVE LEAD,C1897,320.00
2160871,SETNEPHRSTOMY 15CM10MM CATHETER BALLN SHEATH INFLATN DEVICE,C1726,949.00
2160957,FILLER BONE VOID 1CC STIMUBLAST PUTTY,C1713,800.00
21610,COSTOTRANSVERSECTOMY (SEPARATE PROCEDURE)--FAC,21610,"7,479.00"
2161411,TROCAR LAP 150MM12MM KII FIRST ENTRY FLATBLADEZ THRD SLEEVE,,112.00
2161658,DRESSING MUTISITE DISPOSABLE/SNGLE USE SMALL,,"1,249.00"
2161659,DRESSING PICO MULTISITE LARGE DISPOSABLE SNGLE USE LARGE,,880.00
2161661,ADAPTER CATHETER MORSE 7.6F L2.54 MM ID.1 IN TRI,,115.00
2161662,PLATE BONE APTUS STRAIGHT 36MM 1.3MM 5 HOLE 2 2.3MM SCREW,C1713,"1,336.00"
2161663,SCREW BONE 2.2MM 22MM 3.5MM ELBOW CORTICAL,C1713,184.00
2161664,SCREW BONE 2.2MM 24MM 3. MM ELBOW CORTICAL,C1713,184.00
2161665,PLATE BONE 30.5MM 6.5MM 1.8MM FOOT INLINE HOLE 1 2.5MMSCREW,C1713,"1,756.00"
2161666,PLATE BONE ALPS SMALL FOOT INLINE 3.5MM SCREW,C1713,"1,923.00"
2161667,PLATE BONE ALPS SMALL FOOT CLOSED FUSION NONSTERILE 1 JOINT,C1713,"2,157.00"
2161668,SCREW BONE T15 22MM 2.7MM FOOT CORTICAL SELF TAP,C1713,352.00
2161669,DEFIBRILLATOR MRI 12.7MM 83.1MM 69.1MM 59.5CC 130,C1722,"82,000.00"
2161670,"BI-DIRECTIONAL CIRCULAR MAPPING CATHETER, 15MM CURVE DF",C1730,"5,200.00"
2161672,"ADVISOR FL  SENSOR ENABLED BI-DIRECTIONAL CATHETER, 20MM",C1730,"5,200.00"
2161673,TROCAR 80MM 7MM THORAX FLEXIBLE SLEEVE MECHANICAL OBTURATOR,,778.00
2161674,STEM FEM TITNM 125 47MM 145MM 40.3MM 11MM HIP COLLAR,C1776,"7,200.00"
2161675,"ARM15T COCR ROD, 600MM STRAIGHT",C1889,"1,996.00"
2161676,INSERT TIBIAL GMK 3 H10 MM LEFT FIXED SPHERE FLEX,C1776,"3,000.00"
2161677,COMPONENT TIBIAL TRAY GMK 3 LEFT CEMENTED FIXED PRIMARY,C1776,"4,080.00"
2161678,COMPONENT FEMORAL GMK 4 KNEE RIGHT SPHERE CEMENTED,C1776,"7,088.00"
2161679,COMPONENT TIBIAL TRAY GMK T3I4 RIGHT FIXED CEMENTED,C1776,"4,080.00"
2161680,ELECTRODE ELECTROSURGICAL CURVE SPATULA 45CM CLEANCOAT,,217.00
2161681,SCREW BONE 18MM 4MM SPINE CERVICAL SELFDRILL SELF RETAINING,C1713,836.00
2161682,SCREW BONE 18MM 4.5MM SPINE CERVICAL SELFDRILL SELF RETAING,C1713,836.00
2161685,SCREW CANNULATED TI 6.5X65MM,C1713,"1,920.00"
2161686,PASSER SUTURE TRANSOSSEOUS,,"1,996.00"
2161687,LOCKING SCREW 3.5MMX10MM,C1713,"1,500.00"
2161688,DEVICE INFLATION CADENCE PRECISION 1 ML SYRINGE INJECTOR,,444.00
2161689,MARKER BREAST BIOPSY CELEROMARK (HOURGLASS),A4648,223.00
2161690,DISPOSABLE BIOPSY NEEDLE WITH MARKER PLATES,,"1,740.00"
2161691,FORCEPS SURGICAL GRIESHABER MAXGRIP 23GA,,609.00
2161692,STENT TRACHEOBRONCHIAL .035IN 38MM 120CM 9MM 7FR BALLOON,C1874,"10,300.00"
2161693,STENT BILIARY SUPERA NITINOL 80MM 120CM 5.5MM 6FR,C1876,"7,180.00"
2161694,CAGE SPINAL COROENT TITANIUM 8D 30MM 8MM 14MM ANTERIOR,C1889,"12,800.00"
2161695,SCREW BONE MAX VPC FULL THREAD 24MM 4MM CANNULATED COMPRSSN,C1713,"1,004.00"
2161696,CATHETER 120CM 9FR 32MM 2 RADIOPQ .035IN GUIDWR 12FRINTRDCR,C2628,"1,824.00"
2161697,GRAFT ENDOVLR 197MM 34MM 20FR PLUS INTRODCTN SYSTEM,,"51,324.00"
2161698,GRAFT ENDOVASCULAR 58MM 32MM 7.7MM 20 FR MAIN BODY EXT AAA,,"8,244.00"
2161699,ROD SPINAL RELINE-O TITANIUM LORDOTIC 50MM 5.5MM,C1889,600.00
2161700,ROD SPINAL RELINE-O TITANIUM LORDOTIC 55MM 5.5MM,C1889,"1,196.00"
2161701,KIT PLATELET SEPARATOR MAGELLAN COMPLETE 1 SOURCE,,"2,640.00"
2161704,GRAFT ENDOV 91MM 28MM 12MM AORTIC ANRYSM ONE-SHOT INTRO SYS,,"14,832.00"
2161751,(DME) QUATTRO AIR CUSHION MEDIUM,A7031,60.00
2161752,MINI 1 BALLOON G  14FR X 1CM,,752.00
2161753,MINI 1 BALLOON G 14FR X 1.5CM,,752.00
2161754,MINI 1 BALLOON G 14FR X 2CM,,752.00
2161755,MINI 1 BALLOON G 14FR X 2.5CM,,752.00
2161756,MINI 1 BALLOON G 14FR X 3CM,,752.00
2161757,MINI 1 BALLOON G 14FR X 3.5CM,,752.00
2161758,MINI 1 BALLOON G 14FR X 4CM,,752.00
2161759,MINI 1 BALLOON G 14FR X 4.4CM,,752.00
2161760,MINI 1 BALLOON G 14FR X 5CM,,752.00
2161761,MINI 1 BALLOON G 14FR X 5.5CM,,752.00
2161762,MINI 1 BALLOON G 14FR X 6CM,,752.00
2161763,MINI 1 BALLOON G 14FR X 6.5CM,,752.00
2161764,MINI 1 BALLOON G 16FR X 1CM,,752.00
2161765,MINI 1 BALLOON G 16FR X 1.5CM,,752.00
2161766,MINI 1 BALLOON G 16FR X 2CM,,752.00
2161767,MINI 1 BALLOON G 16FR X 2.5CM,,752.00
2161768,MINI 1 BALLOON G 16FR X 3CM,,752.00
2161769,MINI 1 BALLOON G 16FR X 3.5CM,,752.00
2161770,MINI 1 BALLOON G 16FR X 4CM,,752.00
2161771,MINI 1 BALLOON G 16FR X 4.4CM,,752.00
2161772,MINI 1 BALLOON G 18FR X 1CM,,752.00
2161773,MINI 1 BALLOON G 18FR X 1.5CM,,752.00
2161774,MINI 1 BALLOON G 18FR X 2CM,,752.00
2161775,MINI 1 BALLOON G 18FR X 2.5CM,,752.00
2161776,MINI 1 BALLOON G 18FR X 2.7CM,,752.00
2161777,MINI 1 BALLOON G 18FR X 3CM,,752.00
2161779,MINI 1 BALLOON G 18FR X 4CM,,402.00
2161780,MINI 1 BALLOON G 18FR X 4.4CM,,752.00
2161781,MINI 1 BALLOON G 18FR X 5CM,,752.00
2161783,MINI 1 BALLOON G 20FR X 1CM,,752.00
2161784,MINI 1 BALLOON G 20FR X 1.5CM,,778.00
2161785,MINI 1 BALLOON G 20FR X 2CM,,778.00
2161786,MINI 1 BALLOON G 20FR X 2.5CM,,402.00
2161787,MINI 1 BALLOON G 20FR X 3CM,,778.00
2161788,MINI 1 BALLOON G 20FR X 3.5CM,,778.00
2161789,MINI 1 BALLOON G 20FR X 4CM,,778.00
2161790,MINI 1 BALLOON G 20FR X 4.4CM,,778.00
2161791,MINI 1 BALLOON G 24FR X 1.5CM,,778.00
2161792,MINI 1 BALLOON G 24FR X 2.0CM,,778.00
2161793,MINI 1 BALLOON G 24FR X 2.5CM,,778.00
2161794,MINI 1 BALLOON G 24FR X 3CM,,778.00
2161795,MINI 1 BALLOON G 24FR X 3.5CM,,778.00
2161796,MINI 1 BALLOON G 24FR X 4CM,,778.00
2161797,MINI 1 BALLOON G 24FR X 4.4CM,,778.00
2161798,GJET LOW PROFILE G-J TUBE14F X 1.5CM X 45CM,,778.00
2161799,GJET LOW PROFILE G-J TUBE14F X 2.0CM X 45CM,,778.00
2161800,GJET LOW PROFILE G-J TUBE14F X 2.5CM X 45CM,,778.00
2161801,GJET LOW PROFILE G-J TUBE14F X 3.0CM X 45CM,,778.00
2161802,GJET LOW PROFILE G-J TUBE14F X 3.5CM X 45CM,,778.00
2161803,GJET LOW PROFILE G-J TUBE14F X 4.0CM X 45CM,,778.00
2161804,GJET LOW PROFILE G-J TUBE14F X 4.4CM X 45CM,,778.00
2161805,GJET LOW PROFILE G-J TUBE14F X 5.0CM X 45CM,,"1,669.00"
2161806,GJET LOW PROFILE G-J TUBE14F X 5.5CM X 45CM,,"1,669.00"
2161807,GJET LOW PROFILE G-J TUBE14F X 6.0CM X 45CM,,"1,669.00"
2161808,GJET LOW PROFILE G-J TUBE16F X 1.5CM X 45CM,,622.00
2161809,GJET LOW PROFILE G-J TUBE16F X 2.0CM X 45CM,,"1,732.00"
2161810,GJET LOW PROFILE G-J TUBE16F X 2.5CM X 45CM,,622.00
2161811,GJET LOW PROFILE G-J TUBE16F X 3.0CM X 45CM,,622.00
2161812,GJET LOW PROFILE G-J TUBE16F X 3.5CM X 45CM,,622.00
2161813,GJET LOW PROFILE G-J TUBE16F X 4.0CM X 45CM,,622.00
2161814,GJET LOW PROFILE G-J TUBE16F X 4.4CM X 45CM,,622.00
2161815,GJET LOW PROFILE G-J TUBE16F X 5.0CM X 45CM,,622.00
2161816,GJET LOW PROFILE G-J TUBE16F X 5.5CM X 45CM,,622.00
2161817,GJET LOW PROFILE G-J TUBE16F X 6.0CM X 45CM,,622.00
2161818,GJET LOW PROFILE G-J TUBE18F X 1.5CM X 45CM,,"1,732.00"
2161821,GJET LOW PROFILE G-J TUBE18F X 3.0CM X 45CM,,"1,054.00"
2161822,GJET LOW PROFILE G-J TUBE18F X 3.5CM X 45CM,,"1,854.00"
2161824,GJET LOW PROFILE G-J TUBE18F X 4.4CM X 45CM,,"1,854.00"
2161825,GJET LOW PROFILE G-J TUBE18F X 5.0CM X 45CM,,"1,854.00"
2161826,GJET LOW PROFILE G-J TUBE18F X 5.5CM X 45CM,,"1,732.00"
2161827,GJET LOW PROFILE G-J TUBE18F X 6.0CM X 45CM,,"1,732.00"
2161829,PSN ASF PS 14MM VE L 10-11EF,,"3,000.00"
2161830,STEM FEMORAL 190MM 18MM DISTAL PRESSFIT SPLINE REVISION SYS,C1776,"14,492.00"
2161831,CAGE SPINAL COROENT TITANIUM 8 D 30MM 10MM  14MM,C1889,"12,000.00"
2161832,CAGE SPINAL COROENT TITANIUM 12 D L30 MM W10 MM H11 MM,C1889,"12,800.00"
2161833,CARDIACEVERAMRIXT 2CHMBR ANTITACHYCARDIA DEFIBRILLATOR ONLY,C1721,"69,600.00"
2161834,SHANK SCREWDRIVER RELINE-O 50MM 6.5MM SPINE MODULR TRACTION,,"2,000.00"
2161835,SYSTEM-MMEM EVERA MRI XT DR,C1721,"81,600.00"
2161836,RELINE-O MOD SHANK 5.5X55MM TRACTION,,"2,000.00"
2161837,RELINE-O MOD SHANK 7.5X50MM TRACTION,,"2,000.00"
2161838,RELINE-O MOD SHANK 7.5X55MM TRACTION,,"2,000.00"
2161839,G7 DUAL MOBILITY LINER 54MM,C1776,"6,200.00"
2161840,SHELL ACETABULAR G7OSSEOTI 1 HEMISPHERE OFFSET 66MM HIP,C1776,"10,400.00"
2161841,STEM FEMORAL ATTUNE 50MM 14MM KNEE CEMENTED REVISION,,"3,705.00"
2161842,INSERT TIBIAL AOX6 14MM KNEE CRUCIATE RETAINING FIX BEARING,C1776,"2,844.00"
2161843,ATUNE KNEE SYSTEM TIBIAL BASE SZ 5 CEMENTED,C1776,"23,600.00"
2161844,CAP ELECTRODE STANDARD RED MED STRAPLESS,,"1,104.00"
2161845,ELECTRO-CAP LARGE BLUE STRAPLESS,,"1,104.00"
2161846,COMPONENT FEMORAL JOURNEY2 OXINIUM3 61.5MM 56.7MM KNEE LEFT,C1776,"45,780.00"
2161847,COMPONENT PATELLAR GENESIS II L35 MM RESURFACE,C1776,"6,960.00"
2161848,INSERT ARTICULAR JOURNEY2 10MM LEFT BICRUCIATE,C1776,"24,760.00"
2161849,COMPONENT FEMORAL JOURNEY2OXINIUM3 61.5MM 56.7MM KNEE RIGHT,C1776,"45,780.00"
2161851,INSERT ARTICULAR JOURNEY2 XLPE 1 2 9MM RIGHT,C1776,"24,760.00"
2161852,CATHETER GUIDING SOFIA 125CM 17CM 5FR .068IN ID.055IN,C1887,"4,864.00"
2161853,CATHETR SUPP SOFIAPLUS 125CM 19CM 6FR .0825TO.0815IN .070IN,C1887,"7,984.00"
2161854,CATHETER SUPPORT 115CM 19CM .0825-.0815IN .070IN LARGE,C1887,"7,984.00"
2161856,"MOSS 100 TI PEDICLE SCREW, 7.0 X 45MM",C1889,"2,664.00"
2161857,"MOSS 100 TI PEDICLE SCREW, 7.0 X 50MM",C1889,"2,664.00"
2161858,MOSS100 TI ROD 5.5 CURVED 45MM,C1889,"1,500.00"
2161859,BASEPLATE GLENOID EQUINOXE 8D SHOULDER RIGHT POSTRR AUGMENT,C1776,"6,000.00"
2161860,MATRIX TISSUE BIOCARTILAGE .75 CC,C1762,"3,000.00"
2161862,ANORECTAL WAND 15MMX10MM,,"1,996.00"
2161863,INTERSPACE TAPERED WEDGE STEM,,"18,520.00"
2161864,"CRYOPROBE, IR 2.4MM, LONG",,"8,000.00"
2161866,CATHETER GUIDING VISTA BRITE TIP 90CM 0.1IN OD8 FR .088IN,C1887,168.00
2161867,GUIDEWIRE VASCULAR AMPLATZ SUPER STIFF 3MM 260CM 7CM .035IN,C1769,88.00
2161869,HIP KNEE ANKLE FOOT ORTHOSIS,,"2,093.00"
2161870,CATHETER  RIGHT CORONARY 1 CURVE 100CM .1IN 8FR .088IN,C1887,168.00
2161871,"SURGICAL LEAD KIT, 70CM",C1778,"19,250.00"
2161873,GUIDEWIRE VASCULAR ROTAWIRE WIRECLIP330CM 2.8CM .014IN .009,C1769,617.00
2161874,HARMONIC LAP 5MM SHEARS 36CM REPROCESSED,,"1,128.00"
2161877,PLATE BONE VARIAXSMARTLCK TITNM 60MM 2MM FIBULA 4 HOLE LOCK,C1713,"3,420.00"
2161878,TITNM T10 48MM 3.5MM ANKLE SELF TAP LOCK PLATE SYSTEM,C1713,640.00
2161879,PLT/4 HOLE CRVD W/BAR MDFC,C1713,624.00
2161880,DRILL TWIST L62 MM L13 MM OD2 MM REPOSITION PIN,,683.00
2161881,PLATE 57MM LEFT DISTAL 6HOLE HEAD 5HOLE SHAFT 2.4MM SCREW,C1713,"5,134.00"
2161883,SCREW BONE T8 24MM 2.4MM LOCK VARIABLE ANGLE STARDRIVE,C1713,682.00
2161885,NAIL INTRAMEDULLARY  125 D 170MM 10MM FEMORAL,C1713,"7,164.00"
2161886,BLADE INTRAMEDULLARY TITNM HELICAL 105MM 10.35MM FEMORAL,C1713,"3,423.00"
2161887,SCREW BONE VUEPOINTII PARTIAL THREAD 32MM 3.5MM SPINE,C1889,"3,000.00"
2161888,NAIL INTRAMEDULLARY 10 D 2 D 3 FLUTE 36CM 12MM TIBIAL,C1713,"4,103.00"
2161889,INSERT TIBIAL ATTUNE AOX 4 12MM KNEE CRUCIATE RETAINING FIX,C1776,"2,844.00"
2161890,GRAFT STENT 49MM 28MM ODSEC18 FR ENDOVASCULAR AORTIC,,"16,245.00"
2161893,BASEPLATE TIBIAL LEGION 3 KNEE LEFT REVISION,C1776,"25,560.00"
2161894,COMPONENT FEMORAL LEGION OXINIUM 4 KNEE LEFT CONSTRAIN,C1776,"63,920.00"
2161895,BEARING TIBIAL 71/75MM 16 MM KNEE CONSTRAIN REVISION SYSTEM,C1776,"9,984.00"
2161896,BLOCK AUGMENTATION 360 62.5MM 10MM KNEE REVISION SYSTEM,C1776,"5,136.00"
2161897,COMPONENT FEM VANGUARD 360 62.5MM KNEE RT REVISION SYSTEM,C1776,"30,504.00"
2161899,ARTEMIS CANNISTER,,"1,460.00"
2161903,ADI-25-05 ADIPREP PROCEDURE PACK,,"9,000.00"
2161909,RHYTHMLINK BALL TIP PROBE,,"1,800.00"
2161910,SCREW APTUS 36MM13MM2.2MM ELBOW WRIST HAND FOOT HEXADRIVE 7,C1713,"1,493.00"
2161911,INSERT TIBIAL DURACON DURATION MEDIUM 11MM KNEE,C1776,"5,037.00"
2161912,CATHTR ANGIO GLIDECATH 100CM 5FR .047IN 1BRAID,C1887,203.00
2161913,SEALER/DIVIDER LAPAROSCOPIC LIGASURE 37CM 5MM L HOOK,,"2,573.00"
2161915,COMPONENT FEMORAL GMK 3 KNEE LEFT SPHERE CEMENTED,C1776,"7,088.00"
2161916,ELEMAX CORTICAL CANNCELLOUS SPACER,,"3,580.00"
2161917,VALVULOTOME 2.5MM 100CM DETACHABLE BLADE ANGIOSCOPIC,,"2,018.00"
2161918,VALVULOTOME ANGIOSCOPIC L100 CM OD3.5 MM DETACHABLE BLADE,,"2,018.00"
2161919,PERFORATOR 14OD 11ID 3S WHITE,,868.00
2161922,CATH GUIDE RCD1 SMALL 7FR 55CM VISTA BRITE,C1887,241.00
2161924,GUIDEWIRE VASC CHOICE 300CM .014IN SPRING COIL TIP SLEEVE,C1769,320.00
2161925,STEM FEM CORAIL 135D 38.5MM 130MM 38.5MM 9MM HIP COLLAR,C1776,"7,200.00"
2161928,GUIDEWIRE ORTHOPEDIC CONFIDA BRECKER CURVE L26 CM,C1769,780.00
2161933,MANOSCAN ESO WITH EXTENDED TIP,,"50,820.00"
2161934,CATHETER BALLOON 75CM 4CM 12MM ACCEPTS .035IN GUIDEWIRE 8,C1725,"1,019.00"
2161935,CATHETER GUIDING 150CM .067IN ID.057IN,,"1,584.00"
2161936,HEAD FEMORAL DELTA +3.5MM 12/14 LARGE 28MM HIP,C1776,"2,600.00"
2161937,PLATE BONE 51MM RADIUS LEFT 6 HOLE HEAD 3 HOLE 2.4 MM SCREW,C1713,"5,090.00"
2161938,BOLT 38MM HIP TROCHANTERIC LATERAL FEMORAL REVISION SYSTEM,,"2,559.00"
2161941,SCREW BONE 2.2MM 18MM 3.5MM ELBOW CORTICAL SELF TAP TIP,C1713,184.00
2161943,DEVICE INFLATION 30 ATM 25 CC,,200.00
2161944,DILATOR ENDOSCOPIC 240CM 5.5CM 7.5 FR 18-20MM GUIDEWIRE,C1726,856.00
2161945,SET SHEATH LEAD EXTRACTION EVOLUTION SHORT ID11,C1773,"5,040.00"
2161947,EXTENSION LEAD BULLDOG L70 CM THREADABLE HANDLE LOCK,,"1,064.00"
2161948,EXTENDER LEAD OSCOR L40 CM,C1883,"1,920.00"
2161949,TRAY SURG 110CM 5 FR TEMP BIPOLAR BALLOON PACING ELECTRODE,,532.00
2161950,SCREW BONE L40 MM OD10.5 MM SPINE SELF TAPPING MODULAR,C1713,"1,220.00"
2161951,STENT ENDOPROSTHESIS .035IN L39 MM 135CM 6MM 8MM GUIDEWIRE,C1874,"13,196.00"
2161952,STENT ENDOPROSTHESIS .035IN 39MM 135CM 7MM 11MM GUIDEWIRE,C1874,"13,196.00"
2161953,GRAFT ENDOVASCULAR 12CM 26MM 14.5MM 22 23MM 12 13.5MM STENT,,"44,372.00"
2161954,INSERT ARTICULAR PERSONA VITAMIN E 6-9 E-F H16 MM KNEE LEFT,C1776,"4,000.00"
2161955,SCREW BONE MESA 2 55MM 7.5MM SPINE POLYAXIAL,C1713,"3,600.00"
2161956,INTRODUCER CATHETER CHECK-FLO L25 CM OD20 FR SET,C1894,"1,436.00"
2161957,PIN FIXATION T8 10MM 1.8MM RADIUS DISTAL  2.4MM SCREW,C1713,682.00
2161960,DILATOR SURG XPRESS ULTRA 1.5MM 20MM 6MM LED LIGHT BALL TIP,,"6,200.00"
2161961, CYCLONE SINONASAL SUCTION AND IRRIGATION SYSTEM,,"1,020.00"
2161964,PLATE BONE ALPS TIMAX FIRST METATARSOPHALANGEAL RTLOCK FUSN,C1713,"2,024.00"
2161965,NAIL TI6AL4V 130D CCD RIGHT SPIRAL FLUTE 32CM 13MM 15.5MM,C1713,"5,632.00"
2161971,CAGE SPINAL COROENT 12 D L28 MM X W12 MM X H9 MM MAS PLIF,C1889,"10,400.00"
2161972,COMPT FEMORAL 2 KNEE RIGHT MEDIAL LFT LTERAL FIX BEARING,C1776,"29,820.00"
2161973,INSERT ARTICULAR ZIMMER VIVACIT-E 2 H12 MM KNEE TIBIA,,"3,893.00"
2161975,PLATE BONE ORTHOLOC TITNM FOOT ANKLE LEFT RECNSTRUCTION SYS,C1713,"9,504.00"
2161976,SCREW ORTHOLOC PARTIAL THREAD 24MM 3.5MM ANKLE 3DICROSS,C1713,"1,276.00"
2161977,LAPIDUS 3-HOLE STAN NO ARM COMPRSSION PLATE LT PRECSN GUIDE,C1713,"9,800.00"
2161979,SCREW MAX VPC 2MM FULLTHREAD 14MM 3.4MM CANNULATED SELF TAP,C1713,"1,004.00"
2161980,SCREW ASNISIII PARTL THRD 60MM4MM HIP SELF TAPPING DRILLING,C1713,"1,036.00"
2161981,DRILL BIT 03.6MMX122MM AO FITTING,,948.00
2161982,SCREW BONE L20 MM OD3.5 MM CORTICAL LOCK NONSTERILE,C1713,385.00
2161983,SCREW BONE L24 MM OD3.5 MM CORTICAL LOCK NONSTERILE,C1713,"2,184.00"
2161984,SCREW BONE TITNM T15 26MM 4MM TIBIA CANCLLOUSDISTAL SELFTAP,C1713,385.00
2161985,SCREW BONE T15 L20 MM OD3.5 MM LOCK MULTIDIRECTIONAL,C1713,519.00
2161986,SCREW BONE T15 L22 MM OD3.5 MM LOCK MULTIDIRECTIONAL,C1713,519.00
2161988,DEVICE THROMB SOLITAIRE PLAT 6MM X 40MM W/RADIOPAQUE MARKER,,"30,496.00"
2161989,CAP ENDOSCOPE SEALING REVEAL 4MM 11.35MM 8.9-9.5MM,,80.00
2161990,SHELL ACETABULAR G7 POROUS G HEMISPHERE OFFSET OD58 MM HIP,C1776,"4,000.00"
2161991,LINER ACETABULAR G7 E1 G ID36 MM HIP HIGH WALL,C1776,"3,000.00"
2161992,SPETZLER-MALIS BIPOLAR FORCEP 1.0MM TIP,,"1,260.00"
2161993,GEM MICROVASCULAR ANASTOMOTIC COUPLER,,"1,580.00"
